"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"API","AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","1997-06-16","Health Care Equipment & Services",559164600
"APL","ANTIPODES GLOBAL INVESTMENT COMPANY LTD","2016-10-18","Not Applic",540967817
"APT","AFTERPAY LIMITED","2017-06-29","Software & Services",33938423325
"APV","APPSVILLAGE AUSTRALIA LIMITED","2019-08-27","Software & Services",7662435
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",52185607
"APX","APPEN LIMITED","2015-01-07","Software & Services",1718027633
"APZ","ASPEN GROUP","1991-04-11","Real Estate",146623675
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",9592114
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",18110176
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",34426083
"AQR","APN CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",452987256
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",60170841
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",18548800
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",678815663
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",58979715
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",104989663
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",3627441654
"ARC","AUSTRALIAN RURAL CAPITAL LIMITED","2000-04-14","Diversified Financials",6848561
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",36827663
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",21846536
"ARF","ARENA REIT.","2013-06-13","Real Estate",1182135873
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6365918235
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",69580467
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",23693280
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",15056772
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",27382724
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",482008687
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",199032730
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",71534866
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",308603014
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",23428354
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",751476335
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",484410000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",65509036
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",876097718
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",53655459
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",133587640
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",62935191
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",29479308
"AST","AUSNET SERVICES LIMITED","2005-12-14","Utilities",6785199786
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",38681550
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",14558356182
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",90975649
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",61751142
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",58352467
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",68875836
